,disease,suggestion
0,Pepper Bell - Bacterial Spot,"Use disease-free seeds and transplants by sourcing certified, pathogen-free materials.Rotate crops with non-host plants such as cereals for at least two to three years to reduce bacterial persistence in the soil. Remove and destroy infected plant debris to minimize bacterial survival. Avoid overhead irrigation and use drip irrigation to reduce leaf wetness, which helps prevent bacterial spread. Apply copper-based fungicides such as copper hydroxide or copper sulfate preventively, rotating treatments to prevent resistance. Use a mixture of mancozeb and copper as an effective treatment in the early stages of infection. Apply bactericides such as streptomycin or kasugamycin in nurseries, but with caution to avoid resistance development. Utilize beneficial bacteria such as Bacillus subtilis or Trichoderma species, which can suppress bacterial growth. Consider plant-based treatments such as neem oil, which has demonstrated antibacterial properties. Whenever possible, plant resistant pepper cultivars, as they provide a long-term solution to bacterial spot management."
1,Pepper Bell - Healthy,"Start with certified, disease-free seeds and transplants to avoid introducing the pathogen.Practice crop rotation with non-host crops such as cereals for at least two to three years.Maintain proper field sanitation by removing plant debris and weeds that can harbor bacteria.Use drip irrigation instead of overhead watering to prevent leaf wetness, which encourages bacterial growth.Apply copper-based fungicides such as copper hydroxide or copper sulfate as a preventive measure.Use a combination of mancozeb and copper to enhance protection.Consider bactericides like streptomycin or kasugamycin in nurseries for early disease suppression.Introduce beneficial microorganisms such as Bacillus subtilis or Trichoderma species, which help suppress bacterial growth.Apply natural treatments like neem oil, which has antibacterial properties.Choose resistant bell pepper cultivars whenever available, as they provide long-term disease prevention."
2,PlantVillage (Unknown Class),
3,Potato - Early Blight,"Use certified disease-free seeds and tubers, rotate crops with non-host plants like cereals for two to three years, remove and destroy infected plant debris, ensure proper plant spacing and avoid excessive nitrogen fertilization, use drip irrigation instead of overhead watering.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations before symptoms appear, use systemic fungicides like azoxystrobin, difenoconazole, or boscalid in rotation to prevent resistance, begin fungicide applications early in the growing season, especially in warm and humid conditions.Apply beneficial fungi or bacteria such as Trichoderma spp. or Bacillus subtilis, use organic treatments like neem oil or compost tea to improve plant resistance.Plant early blight-resistant potato cultivars whenever possible to reduce disease susceptibility."
4,Potato - Late Blight,"Use certified disease-free seeds and tubers, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid excessive nitrogen fertilization to prevent overly dense foliage, ensure proper plant spacing for good air circulation, use drip irrigation instead of overhead watering.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations before symptoms appear, use systemic fungicides like metalaxyl, fluopicolide, or cymoxanil in rotation to prevent resistance, apply fungicides at regular intervals during humid or rainy conditions, avoid continuous use of the same fungicide to reduce resistance risk.Apply beneficial microorganisms such as Trichoderma spp. or Bacillus subtilis to suppress the pathogen, use organic treatments like neem oil or compost tea to enhance plant resistance, incorporate biofungicides based on Pseudomonas fluorescens.Plant late blight-resistant potato cultivars whenever available, choose varieties with strong disease resistance to minimize infection risk."
5,Potato - Healthy,"Use certified disease-free seeds and tubers, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid excessive nitrogen fertilization to prevent overly dense foliage, ensure proper plant spacing for good air circulation, use drip irrigation instead of overhead watering, monitor for early disease symptoms.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations as a preventive measure, use systemic fungicides like metalaxyl, fluopicolide, or cymoxanil in rotation to prevent resistance, follow a regular fungicide application schedule during humid or rainy conditions, avoid excessive or repeated use of the same fungicide to reduce resistance risk.Apply beneficial microorganisms such as Trichoderma spp. or Bacillus subtilis to improve plant defense, use organic treatments like neem oil or compost tea to enhance plant resistance, incorporate biofungicides based on Pseudomonas fluorescens.Plant disease-resistant potato cultivars whenever available, choose varieties with strong resistance to common fungal and bacterial diseases."
6,Tomato - Bacterial Spot,"Use certified disease-free seeds and transplants, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid overhead irrigation and use drip irrigation to minimize leaf wetness, ensure proper plant spacing for good air circulation, sanitize tools and equipment to prevent bacterial spread.Apply copper-based fungicides such as copper hydroxide or copper sulfate as a preventive measure, use a combination of mancozeb and copper to enhance protection, apply bactericides like streptomycin or kasugamycin in nurseries for early disease suppression, rotate treatments to prevent bacterial resistance.Apply beneficial bacteria such as Bacillus subtilis or Trichoderma spp. to suppress bacterial growth, use organic treatments like neem oil to enhance plant resistance, consider using plant-based extracts with antibacterial properties.Plant bacterial spot-resistant tomato cultivars whenever available, choose varieties with strong disease resistance to reduce the risk of infection."
7,Tomato - Early Blight,"Use certified disease-free seeds and transplants, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid overhead irrigation and use drip irrigation to minimize leaf wetness, ensure proper plant spacing for good air circulation, provide balanced fertilization to maintain plant health, mulch around plants to reduce soil splash that spreads the pathogen.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations before symptoms appear, use systemic fungicides like azoxystrobin, difenoconazole, or boscalid in rotation to prevent resistance, apply fungicides at regular intervals, especially during humid or rainy conditions, avoid continuous use of the same fungicide to reduce resistance risk.Apply beneficial microorganisms such as Trichoderma spp. or Bacillus subtilis to suppress the pathogen, use organic treatments like neem oil or compost tea to enhance plant resistance, incorporate biofungicides based on Pseudomonas fluorescens.Plant early blight-resistant tomato cultivars whenever available, choose varieties with strong resistance to minimize disease risk."
8,Tomato - Late Blight,"Use certified disease-free seeds and transplants, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid overhead irrigation and use drip irrigation to minimize leaf wetness, ensure proper plant spacing for good air circulation, provide balanced fertilization to strengthen plant immunity, mulch around plants to reduce soil splash that spreads the pathogen.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations before symptoms appear, use systemic fungicides like metalaxyl, fluopicolide, or cymoxanil in rotation to prevent resistance, apply fungicides at regular intervals, especially during humid or rainy conditions, avoid continuous use of the same fungicide to reduce resistance risk.Apply beneficial microorganisms such as Trichoderma spp. or Bacillus subtilis to suppress the pathogen, use organic treatments like neem oil or compost tea to enhance plant resistance, incorporate biofungicides based on Pseudomonas fluorescens.Plant late blight-resistant tomato cultivars whenever available, choose varieties with strong resistance to minimize disease risk."
9,Tomato - Leaf Mold,"Use certified disease-free seeds and transplants, rotate crops with non-host plants like cereals for at least two to three years, remove and destroy infected plant debris, avoid overhead irrigation and use drip irrigation to minimize leaf wetness, ensure proper plant spacing and greenhouse ventilation to reduce humidity, provide balanced fertilization to strengthen plant immunity, prune lower leaves to improve airflow and reduce moisture retention.Apply protectant fungicides such as chlorothalonil, mancozeb, or copper-based formulations before symptoms appear, use systemic fungicides like azoxystrobin, difenoconazole, or boscalid in rotation to prevent resistance, apply fungicides at regular intervals, especially in high-humidity conditions, avoid continuous use of the same fungicide to reduce resistance risk.Apply beneficial microorganisms such as Trichoderma spp. or Bacillus subtilis to suppress the pathogen, use organic treatments like neem oil or compost tea to enhance plant resistance, incorporate biofungicides based on Pseudomonas fluorescens.Plant leaf mold-resistant tomato cultivars whenever available, choose varieties with strong resistance to minimize disease risk."
